"pages","spanidpbrandtext1selftext","dividpdescriptionstrong1followingsiblingtext1selftext","dividpdescriptionh21text1selftext","dividpavailabilityprecedingsiblingdiv1br1precedingsiblingprecedingsiblingspan1text1selftext"
"40.html","3M",".","",""
"27.html","3M","","Nastro strisce antiscivolo 3M adesive Nero 305mm x 18.3mt 3M5100","+"
"19.html","3M",".","","+"
