"pages","dividsharesocialartlst12092448precedingsiblingtext1selftext","","dividsharesocialartlst12093072precedingsiblingprecedingsiblingtext1selftext","","dividsharesocialartlst12092980div1div1p1textselftext","","dividsharesocialartlst12092766precedingsiblingtext1selftext","","dividsharesocialartlst12091508precedingsiblingprecedingsiblingtext1selftext","","dividsharesocialartlst12092716precedingsiblingprecedingsiblingtext1selftext","","dividsharesocialartlst12092450precedingsiblingtext1selftext","","dividsharesocialartlst12092390precedingsiblingtext1selftext","","dividsharesocialartlst12093060precedingsiblingprecedingsiblingtext1selftext","","dividsharesocialartlst12093054precedingsiblingtext1selftext","","dividsharesocialartlst12092386precedingsiblingprecedingsiblingtext1selftext","","dividsharesocialartlst12093123precedingsiblingdiv1p1textselftext","","dividsharesocialartlst12092388precedingsiblingprecedingsiblingtext1selftext","","dividsharesocialartlst12091758precedingsiblingprecedingsiblingtext1selftext","","dividsharesocialartlst12093064precedingsiblingprecedingsiblingtext1selftext",""
"8.html","","","I docenti delle Gae: �Precari storici posizione sanata soltanto in parte�","Letto il comunicato stampa dell?assessore Vettorato, il coordinamento dei docenti delle Gae di Bolzano osserva quanto segue","Massiccio intervento dei vigili del fuoco.",".","Selva di Val Gardena, incendio nella lavanderia dell'albergo","Allarme stamane al Gran Hotel Alpenroyal. Danni contenuti grazie all'intervento dei vigili del fuoco","","","Bolzano, ruba merce per 750 euro al Twenty ma viene arrestato","Alle Sorelle Ramonda l'uomo aveva staccato a forza le placche antitaccheggio danneggiando anche alcuni capi. Raffica di furti sabato nello stesso centro commerciale","","","","","I passi dolomitici "sorvegliati" da 24 telecamere","Convenzione tra le province di Trento e Bolzano per la mobilit� sostenibile","Piante di canapa sulla passeggiata sopra Bolzano, minorenne denunciato","Il Corpo forestale ha sequestrato stupefacente per un valore stimato di 4-5.000 euro","","","L'edificio al numero 105 invaso da un fumo acre e denso.",".","","","","","Egna, finisce con l'auto contro una moto e fugge, arrestato","L'uomo si � anche chiuso in macchina per sottrarsi all'identificazione e ha poi aggredito i carabinieri"
"2.html","�Io candidato a sindaco?  Penso di avere gi� dato�","Le manovre. La Volkspartei si sta riorganizzando dopo la batosta delle elezioni 2015 �Nessuna alleanza per il primo turno, nemmeno con la Lega. I Verdi andranno con K�llensperger�","","","Massiccio intervento dei vigili del fuoco.",".","","","Due persone precipitate nel burrone: sono gravi","Un primo incidente si � verificato sulla Via Alta per Merano, l'altro tra la Forcella dei Laghi e il Lago di Latte un paio d'ore dopo","","","Falda di Sinigo, sparite le carte della bonifica","Il caso. Scomparsi dagli uffici del municipio documenti sull?intubamento dei canali Un?interrogazione di Schir alza il velo anche sull?ipotesi di abusivit� dei lavori svolti trent?anni fa","Parcheggio di Maia Bassa, lavori al via","Merano. Prenderanno il via luned� 26 agosto i lavori per la risistemazione e per l?ampliamento del parcheggio della stazione ferroviaria di Maia Bassa. L?opera, fa sapere l?amministrazione comunale,...","","","","","Da Mozart a Puccini con l?ensemble Vivaldi","Merano. Il concerto al Pavillon des Fleurs con l?ensemble Vivaldi, storica formazione dei Solisti Veneti, � ormai una tradizione dell?estate meranese. Quest?anno si terr� sabato 17 alle ore 21. L?appu...","L'edificio al numero 105 invaso da un fumo acre e denso.",".","Maia Alta festeggia alla grande, la viabilit� meno","Merano. Ultimo giorno oggi, dalle 10 alle 16, per la festa di Maia Alta che sta animando la zona di piazza Fontana da venerd�. Tanti i frequentatori, tanta la musica sui diversi palchi allestiti,...","Un sostegno ai senzatetto col camper in stazione","Il progetto. Volontarius in campo per chi nella strada trova l?unica possibilit� per sopravvivere Gli operatori daranno ascolto e beni di prima necessit�. Pi� avanti spazio ai percorsi individuali","",""
