"pages","dividsharesocialartlst12091680precedingsiblingprecedingsiblingtext1selftext","","dividsharesocialartlst12091107precedingsiblingprecedingsiblingtext1selftext","","dividsharesocialartlst12092392precedingsiblingprecedingsiblingtext1selftext","","dividsharesocialartlst12093054precedingsiblingtext1selftext","","dividsharesocialartlst12093072precedingsiblingprecedingsiblingtext1selftext","","dividsharesocialartlst12090976precedingsiblingtext1selftext","","dividsharesocialartlst12091100precedingsiblingtext1selftext","","dividsharesocialartlst12092716precedingsiblingprecedingsiblingtext1selftext","","dividsharesocialartlst12092766precedingsiblingtext1selftext","","dividsharesocialartlst12092980div1div1p1textselftext","","dividsharesocialartlst12092453precedingsiblingtext1selftext","","dividsharesocialartlst12091761precedingsiblingprecedingsiblingtext1selftext","","dividsharesocialartlst12092396precedingsiblingtext1selftext","","dividsharesocialartlst12093064precedingsiblingprecedingsiblingtext1selftext","","dividsharesocialartlst12093060precedingsiblingprecedingsiblingtext1selftext","","dividsharesocialartlst12093123precedingsiblingdiv1p1textselftext",""
"8.html","","","","","","","Piante di canapa sulla passeggiata sopra Bolzano, minorenne denunciato","Il Corpo forestale ha sequestrato stupefacente per un valore stimato di 4-5.000 euro","I docenti delle Gae: �Precari storici posizione sanata soltanto in parte�","Letto il comunicato stampa dell?assessore Vettorato, il coordinamento dei docenti delle Gae di Bolzano osserva quanto segue","","","","","Bolzano, ruba merce per 750 euro al Twenty ma viene arrestato","Alle Sorelle Ramonda l'uomo aveva staccato a forza le placche antitaccheggio danneggiando anche alcuni capi. Raffica di furti sabato nello stesso centro commerciale","Selva di Val Gardena, incendio nella lavanderia dell'albergo","Allarme stamane al Gran Hotel Alpenroyal. Danni contenuti grazie all'intervento dei vigili del fuoco","Massiccio intervento dei vigili del fuoco.",".","","","","","","","Egna, finisce con l'auto contro una moto e fugge, arrestato","L'uomo si � anche chiuso in macchina per sottrarsi all'identificazione e ha poi aggredito i carabinieri","I passi dolomitici "sorvegliati" da 24 telecamere","Convenzione tra le province di Trento e Bolzano per la mobilit� sostenibile","L'edificio al numero 105 invaso da un fumo acre e denso.","."
"6.html","Calcio, squadre in piazza oggi ad Ora","Ora. Questa mattina alle 11 in piazza ad Ora saranno presentati ufficialmente le squadre di calcio �Strada del Vino - Ora� (Formazione di promozione con giocatori di Ora, Cortaccia, Magre e Cortina...","Salorno, arabo per gli italiani per favorire l?integrazione","L?iniziativa dell?associazione islamica. �Ce lo hanno chiesto molti residenti, forse partiremo gi� a settembre� Intanto domenica in zona artigianale oltre 100 musulmani si troveranno in Bassa per la �Festa del sacrificio�","Spettacolo e buon vino La proposta della Consulta","Appiano. Trovata una data alternativa per lo spettacolo organizzato dalla Consulta culturale di Appiano e che era stato rinviato per il maltempo. �Purtroppo la sera del 25 luglio un violento e...","","","","","Salorno, arabo per gli italiani per favorire l?integrazione","L?iniziativa dell?associazione islamica. �Ce lo hanno chiesto molti residenti, forse partiremo gi� a settembre�. Intanto domenica in zona artigianale oltre 100 musulmani si troveranno in Bassa per la �Festa del sacrificio�","Sensori, cloni e spazzole per la viticoltura hi-tech","Le prove sperimentali a Laimburg. Presentate le ultimissime novit� del settore �Il meteo? Sempre meno prevedibile, bisogna fare ricorso all?esperienza ma anche alla tecnologia�","","","","","","","Mele, la resa � ai minimi Si pensa a more e fragole","La crisi. Buona parte del raccolto 2018 in stand-by a pochi giorni dall?inizio dello stacco 2019 La differenza con chi coltiva i piccoli frutti � enorme: si va da 7 mila a 34 mila euro ad ettaro","Case, � boom di compravendite in Bassa-Oltradige: +25%","Un 2018 da record. Perseghin (Fiaip): �Decisivi qualit� della vita, vicinanza a Bolzano e concorrenzialit� dei prezzi� In dodici mesi sono stati venduti 770 alloggi e il prezzo al metro quadrato � salito 2.631 euro con un incremento dell?1,1%","Guidavano ubriachi, tre patenti ritirate","Appiano/caldaro. Un venerd� sera di controlli, per la polizia stradale di Bolzano, che l?altra notte tra Appiano e Caldaro ha ritirato tre patenti ad altrettanti conducenti in stato di ebbrezza e una...","Egna, finisce con l'auto contro una moto e fugge, arrestato","L'uomo si � anche chiuso in macchina per sottrarsi all'identificazione e ha poi aggredito i carabinieri","","","",""
