"pages","dividnotelegaliexpandibleh51a1followingsiblingtext1selftext","dividnotelegaliexpandibleh41followingsiblingtext1selftext","dividnotelegaliexpandiblebr1followingsiblingtext1selftext","dividcookielawpopupfooterdiv1textselftext","dividnotelegaliexpandiblestrong1a1followingsiblingtext1selftext","dividdescrizionei1p1precedingsiblingprecedingsiblingfollowingsiblingtext1selftext","dividdescrizionetextprecedingsiblingprecedingsiblingprecedingsiblingp1textselftext","dividcookielawpopupheadera1text1selftext","dividctl00ctl00ceditpanel1updiv1div1p1span1span1text1selftext","dividdescrizionei1p1precedingsiblingprecedingsiblingprecedingsiblingtext1selftext","dividctl00ctl00ccproductdetailep1upprecedingsiblingdiv1a1followingsiblingtext1selftext"
"44.html",",","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.",".","","","x","di","","a"
"7.html",",","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.",".","","","x","di","","a"
"38.html",",","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.",".","-","�Da tempo non leggevo un romanzo cos�: grande storia e grande letteratura�","x","di","C?� stata una famiglia che ha sfidato il mondo. Una famiglia che ha conquistato tutto. Una famiglia che � diventata leggenda. Questa � la sua storia.","a"
"48.html",",","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.",".","","","x","di","",""
