"pages","dividnotelegaliexpandiblebr1followingsiblingtext1selftext","dividctl00ctl00ccproductdetailep1upprecedingsiblingdiv1a1followingsiblingtext1selftext","dividctl00ctl00ceditpanel1updiv1div1p1span1span1text1selftext","dividnotelegaliexpandibleh51a1followingsiblingtext1selftext","dividcookielawpopupfooterdiv1textselftext","dividcookielawpopupheadera1text1selftext","dividnotelegaliexpandiblestrong1a1followingsiblingtext1selftext","dividnotelegaliexpandibleh41followingsiblingtext1selftext"
"27.html","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","a","di",",","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","x",".","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione"
"23.html","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","a","di",",","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","x",".","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione"
