"pages","dividctl00ctl00ccproductdetailep1upprecedingsiblingdiv1a1followingsiblingtext1selftext","dividnotelegaliexpandibleh41followingsiblingtext1selftext","dividcookielawpopupheadera1text1selftext","dividnotelegaliexpandiblestrong1a1followingsiblingtext1selftext","dividctl00ctl00ceditpanel1updiv1div1p1span1span1text1selftext","dividcookielawpopupfooterdiv1textselftext","dividdescrizionetextprecedingsiblingprecedingsiblingprecedingsiblingp1textselftext","dividdescrizionei1p1precedingsiblingprecedingsiblingprecedingsiblingtextselftext","dividnotelegaliexpandibleh51a1followingsiblingtext1selftext","dividnotelegaliexpandiblebr1followingsiblingtext1selftext","dividdescrizionei1p1precedingsiblingfollowingsiblingtext1selftext"
"11.html","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","x",".","di","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","","",",","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.",""
"38.html","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","x",".","di","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","�Da tempo non leggevo un romanzo cos�: grande storia e grande letteratura�","C?� stata una famiglia che ha sfidato il mondo. Una famiglia che ha conquistato tutto. Una famiglia che � diventata leggenda. Questa � la sua storia.",",","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","-"
"27.html","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","x",".","di","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","","",",","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.",""
"23.html","a","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","x",".","di","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","","",",","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.",""
