"pages","dividnotelegaliexpandiblestrong1a1followingsiblingtext1selftext","dividcookielawpopupheadera1text1selftext","dividcookielawpopupfooterdiv1textselftext","dividdescrizionei1p1precedingsiblingprecedingsiblingfollowingsiblingtext1selftext","dividnotelegaliexpandibleh51a1followingsiblingtext1selftext","dividnotelegaliexpandibleh41followingsiblingtext1selftext","dividdescrizionep1precedingsiblingprecedingsiblingp1textselftext","dividdescrizionei1p1precedingsiblingfollowingsiblingtext1selftext","dividctl00ctl00ccproductdetailep1upprecedingsiblingdiv1a1followingsiblingtext1selftext","dividdescrizionei1p1precedingsiblingprecedingsiblingprecedingsiblingtext1selftext","dividnotelegaliexpandiblebr1followingsiblingtext1selftext","dividctl00ctl00ceditpanel1updiv1div1p1span1span1text1selftext"
"44.html",".","x","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","",",","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","","","a","","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","di"
"7.html",".","x","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","",",","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","","","a","","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","di"
"38.html",".","x","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","-",",","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","�Da tempo non leggevo un romanzo cos�: grande storia e grande letteratura�","-","a","C?� stata una famiglia che ha sfidato il mondo. Una famiglia che ha conquistato tutto. Una famiglia che � diventata leggenda. Questa � la sua storia.","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","di"
"17.html",".","x","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","",",","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","","-","a","","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","di"
"48.html",".","x","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","",",","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","","","","","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","di"
