"pages","dividdescriptiontext1selftext","","dividnewcommentformerrorprecedingsiblingprecedingsiblingdiv1textselftext","dividdescriptiondiv1text1selftext","dividproductmodaldiv1div1div1text1selftext","","","textareaidcontentprecedingsiblingsup1precedingsiblingdiv1p1strong1text1selftext"
"62.html","Descrizione","ASUS Tinker Board. Modello del processore: Rockchip RK3288. RAM massima supportata: 2 GB, Tipo di RAM: DDR3, Canali di memoria: Doppio. Standard Wi-Fi: 802.11b,802.11g,Wi-Fi 4 (802.11n), Tipo di interfaccia Ethernet: Gigabit Ethernet, Versione Bluetooth: 4.0 EDR. Modello scheda grafica integrata: ARM Mali-T764. Peso: 55 g","ASUS Tinker Board, Rockchip RK3288, 2 GB, DDR3, Doppio, MicroSD (TransFlash), 802.11b,802.11g,Wi-Fi 4 (802.11n)","Descrizione","ASUS Tinker Board, Rockchip RK3288, 2 GB, DDR3, Doppio, MicroSD (TransFlash), 802.11b,802.11g,Wi-Fi 4 (802.11n)","","","ASUS Tinker Board scheda di sviluppo Rockchip RK3288"
"585.html","0","","Scheda Madre H110M-G / M. 2 Socket LGA 1151 Chipset Intel H110 Micro-ATX","0","Scheda Madre H110M-G / M. 2 Socket LGA 1151 Chipset Intel H110 Micro-ATX","","","Scheda Madre H110M-G / M. 2 Socket LGA 1151 Chipset Intel H110 Micro-ATX"
"71.html","Descrizione","ASUS H110M-C. Produttore processore: Intel, Presa per processore: LGA 1151 (Presa H4), Processori compatibili: Intel� Celeron�, Intel� Pentium�. Tipi di memoria supportati: DDR4-SDRAM, tipo di slot di memoria: DIMM, Velocit� di memoria supportate: 2133 MHz. Interfacce dell'unit� di archiviazione supportate: Serial ATA III. Tipo di interfaccia Ethernet: Gigabit Ethernet, Controller LAN: Realtek RTL8111H. Componente per: PC, Fattore di forma scheda madre: Micro ATX, Famiglia di chipset per scheda madre: Intel","ASUS H110M-C, Intel, LGA 1151 (Presa H4), Intel� Celeron�, Intel� Pentium�, DDR4-SDRAM, DIMM, 2133 MHz","Descrizione","ASUS H110M-C, Intel, LGA 1151 (Presa H4), Intel� Celeron�, Intel� Pentium�, DDR4-SDRAM, DIMM, 2133 MHz","","","ASUS H110M-C scheda madre LGA 1151 (Presa H4) Micro ATX Intel� H110"
"583.html","0","","Scheda Madre H370 Pro4 Socket LGA 1151 Chipset Intel H370 ATX","0","Scheda Madre H370 Pro4 Socket LGA 1151 Chipset Intel H370 ATX","","","Scheda Madre H370 Pro4 Socket LGA 1151 Chipset Intel H370 ATX"
"460.html","Descrizione","ASUS PRIME Z390-A. Produttore processore: Intel, Presa per processore: LGA 1151 (Presa H4), Processori compatibili: Intel� Celeron�, Intel� Pentium�. Tipi di memoria supportati: DDR4-SDRAM, tipo di slot di memoria: DIMM, Velocit� di memoria supportate:  MHz. Tecnologia di processo parallela: 2-Way SLI,3-Way CrossFireX, Famiglia della scheda grafica: Intel, Adattatore grafico: HD Graphics. Componente per: PC, Fattore di forma scheda madre: ATX, Famiglia di chipset per scheda madre: Intel. Tipo BIOS: UEFI AMI, Dimensione memoria BIOS: 16 Mbit","ASUS PRIME Z390-A, Intel, LGA 1151 (Presa H4), Intel� Celeron�, Intel� Pentium�, DDR4-SDRAM, DIMM,  MHz","Descrizione","ASUS PRIME Z390-A, Intel, LGA 1151 (Presa H4), Intel� Celeron�, Intel� Pentium�, DDR4-SDRAM, DIMM,  MHz","?","?","ASUS PRIME Z390-A scheda madre LGA 1151 (Presa H4) ATX Intel Z390"
"459.html","Descrizione","ASUS ROG STRIX B360-G GAMING. Produttore processore: Intel, Presa per processore: LGA 1151 (Presa H4), Processori compatibili: Intel� Core? i3, Intel Core i5, Intel Core i7. Tipi di memoria supportati: DDR4-SDRAM, tipo di slot di memoria: DIMM, Velocit� di memoria supportate: 2133,2400,2666 MHz. Tecnologia di processo parallela: 2-Way CrossFireX, Adattatore grafico: HD Graphics, Risoluzione massima: 4096 x 2160 Pixel. Tipo di interfaccia Ethernet: Gigabit Ethernet, Controller LAN: Intel� I219-V. Componente per: PC, Fattore di forma scheda madre: Micro ATX, Famiglia di chipset per scheda madre: Intel","ASUS ROG STRIX B360-G GAMING, Intel, LGA 1151 (Presa H4), Intel� Core? i3, Intel Core i5, Intel Core i7, DDR4-SDRAM, DIMM, 2133,2400,2666 MHz","Descrizione","ASUS ROG STRIX B360-G GAMING, Intel, LGA 1151 (Presa H4), Intel� Core? i3, Intel Core i5, Intel Core i7, DDR4-SDRAM, DIMM, 2133,2400,2666 MHz","?","?","ASUS ROG STRIX B360-G GAMING scheda madre LGA 1151 (Presa H4) Micro ATX Intel� B360"
"78.html","Descrizione","ASUS PRIME B360-PLUS. Produttore processore: Intel, Presa per processore: LGA 1151 (Presa H4), Processori compatibili: Intel� Celeron�, Intel� Core? i3, Intel Core i5, Intel Core i7, Intel� Pentium�. Tipi di memoria supportati: DDR4-SDRAM, tipo di slot di memoria: DIMM, Velocit� di memoria supportate: 2133,2450,2666 MHz. Interfacce dell'unit� di archiviazione supportate: M.2,Serial ATA III. Tecnologia di processo parallela: CrossFireX, Risoluzione massima: 4096 x 2160 Pixel. Tipo di interfaccia Ethernet: Gigabit Ethernet, Controller LAN: Realtek RTL8111H","ASUS PRIME B360-PLUS, Intel, LGA 1151 (Presa H4), Intel� Celeron�, Intel� Core? i3, Intel Core i5, Intel Core i7, Intel� Pentium�, i3-8xxx,i5-8xxx,i7-8xxx, DDR4-SDRAM, DIMM","Descrizione","ASUS PRIME B360-PLUS, Intel, LGA 1151 (Presa H4), Intel� Celeron�, Intel� Core? i3, Intel Core i5, Intel Core i7, Intel� Pentium�, i3-8xxx,i5-8xxx,i7-8xxx, DDR4-SDRAM, DIMM","?","?","ASUS PRIME B360-PLUS scheda madre LGA 1151 (Presa H4) ATX Intel� B360"
"582.html","0","","Scheda Madre Prime B360-Plus Socket LGA1151 Chipset B360 Micro-ATX","0","Scheda Madre Prime B360-Plus Socket LGA1151 Chipset B360 Micro-ATX","","","Scheda Madre Prime B360-Plus Socket LGA1151 Chipset B360 Micro-ATX"
