"pages","dividdescriptiondiv1text1selftext","inputidcommenttitleprecedingsiblingdiv1p1text1selftext","dividdescriptiontext1selftext","","formididnewcommentformdiv1div1p1followingsiblingtext1selftext"
"62.html","Descrizione","ASUS Tinker Board scheda di sviluppo Rockchip RK3288","Descrizione","ASUS Tinker Board. Modello del processore: Rockchip RK3288. RAM massima supportata: 2 GB, Tipo di RAM: DDR3, Canali di memoria: Doppio. Standard Wi-Fi: 802.11b,802.11g,Wi-Fi 4 (802.11n), Tipo di interfaccia Ethernet: Gigabit Ethernet, Versione Bluetooth: 4.0 EDR. Modello scheda grafica integrata: ARM Mali-T764. Peso: 55 g","ASUS Tinker Board, Rockchip RK3288, 2 GB, DDR3, Doppio, MicroSD (TransFlash), 802.11b,802.11g,Wi-Fi 4 (802.11n)"
"585.html","0","Scheda Madre H110M-G / M. 2 Socket LGA 1151 Chipset Intel H110 Micro-ATX","0","","Scheda Madre H110M-G / M. 2 Socket LGA 1151 Chipset Intel H110 Micro-ATX"
"71.html","Descrizione","ASUS H110M-C scheda madre LGA 1151 (Presa H4) Micro ATX Intel� H110","Descrizione","ASUS H110M-C. Produttore processore: Intel, Presa per processore: LGA 1151 (Presa H4), Processori compatibili: Intel� Celeron�, Intel� Pentium�. Tipi di memoria supportati: DDR4-SDRAM, tipo di slot di memoria: DIMM, Velocit� di memoria supportate: 2133 MHz. Interfacce dell'unit� di archiviazione supportate: Serial ATA III. Tipo di interfaccia Ethernet: Gigabit Ethernet, Controller LAN: Realtek RTL8111H. Componente per: PC, Fattore di forma scheda madre: Micro ATX, Famiglia di chipset per scheda madre: Intel","ASUS H110M-C, Intel, LGA 1151 (Presa H4), Intel� Celeron�, Intel� Pentium�, DDR4-SDRAM, DIMM, 2133 MHz"
"582.html","0","Scheda Madre Prime B360-Plus Socket LGA1151 Chipset B360 Micro-ATX","0","","Scheda Madre Prime B360-Plus Socket LGA1151 Chipset B360 Micro-ATX"
