"pages","dividctl00ctl00ccproductdetailep1upprecedingsiblingdiv1a1followingsiblingtext1selftext","dividcookielawpopupfooterdiv1textselftext","dividnotelegaliexpandibleh41followingsiblingtext1selftext","dividcookielawpopupheadera1textselftext","dividnotelegaliexpandiblebr1followingsiblingtext1selftext","dividctl00ctl00ceditpanel1updiv1div1p1span1span1text1selftext","dividnotelegaliexpandiblestrong1a1followingsiblingtext1selftext","dividdescrizionep1b1br1followingsiblingtext1selftext","dividnotelegaliexpandibleh51a1followingsiblingtext1selftext"
"46.html","a","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","x","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","di",".","Il primo romanzo sul fascismo raccontato attraverso Benito Mussolini: il figlio di un secolo che ci ha reso quello che siamo.",","
"13.html","a","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione","x","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","di",".","Il primo romanzo sul fascismo raccontato attraverso Benito Mussolini: il figlio di un secolo che ci ha reso quello che siamo.",","
