"pages","dividnotelegaliexpandibleh51a1followingsiblingtext1selftext","dividnotelegaliexpandiblestrong1a1followingsiblingtext1selftext","dividctl00ctl00ceditpanel1updiv1div1p1span1span1text1selftext","dividcookielawpopupfooterdiv1textselftext","dividnotelegaliexpandiblebr1followingsiblingtext1selftext","dividctl00ctl00ccproductdetailep1upprecedingsiblingdiv1a1followingsiblingtext1selftext","dividcookielawpopupheadera1text1selftext","dividnotelegaliexpandibleh41followingsiblingtext1selftext"
"28.html",",",".","di","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","a","x","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione"
"3.html",",",".","di","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","a","x","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione"
"10.html",",",".","di","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","","x","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione"
