"pages","dividctl00ctl00ccproductdetailep1upprecedingsiblingdiv1a1followingsiblingtext1selftext","dividnotelegaliexpandiblestrong1a1followingsiblingtext1selftext","dividdescrizionep1precedingsiblingprecedingsiblingp1textselftext","dividdescrizionei1precedingsiblingb1text1selftext","dividnotelegaliexpandiblebr1followingsiblingtext1selftext","dividctl00ctl00ceditpanel1updiv1div1p1span1span1text1selftext","dividdescrizionebr1precedingsiblingtext1selftext","dividdescrizioneb1precedingsiblingp1textselftext","dividcookielawpopupfooterdiv1textselftext","dividcookielawpopupheadera1text1selftext","dividdescrizioneb1precedingsiblingprecedingsiblingfollowingsiblingtext1selftext","dividdescrizionei1p1precedingsiblingfollowingsiblingtext1selftext","dividdescrizionei1p1precedingsiblingprecedingsiblingfollowingsiblingtext1selftext","dividnotelegaliexpandibleh41followingsiblingtext1selftext","dividnotelegaliexpandibleh51a1followingsiblingtext1selftext"
"38.html","a",".","�Da tempo non leggevo un romanzo cos�: grande storia e grande letteratura�","","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","di","C?� stata una famiglia che ha sfidato il mondo. Una famiglia che ha conquistato tutto. Una famiglia che � diventata leggenda. Questa � la sua storia.","","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","x","","-","-","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione",","
"17.html","a",".","","Una storia intima e universale, di grande potenza narrativa, che racconta con ironia e dolcezza quel fragile universo "imperfettamente perfetto" che � la famiglia. Un'ambientazione dal forte immaginario letterario: Procida.","Il prezzo barrato dei libri italiani corrisponde al prezzo di copertina.","di","","�Marone va per la sua strada, buttando gi� pregiudizi a colpi di delicatezza come nella lezione dell'amato Troisi�","Proseguendo la navigazione o chiudendo la finestra presti il tuo consenso all'installazione dei cookie.","x","-","-","","Il prezzo barrato corrisponde al prezzo di vendita al pubblico al lordo di IVA e al netto delle spese di spedizione",","
