"pages","figureidattachment12471precedingsiblingtext1selftext","","","","","","linkidvideojscssfollowingsiblingtext1title1textselftext","dividjprelatedpostsh51precedingsiblingtextselftext","","","","","","","","","dividdpspcontentbottomprecedingsiblingprecedingsiblingtext1selftext","","dividdpspcontenttopp1h61text1selftext","figureidattachment12471precedingsiblingprecedingsiblingtext1selftext","","dividjprelatedpostsprecedingsiblingh51text1selftext","dividjprelatedpostsprecedingsiblingh61precedingsiblingtext1selftext","","","","","","dividdpspcontentbottomh61h51textselftext","","dividjprelatedpostsprecedingsiblingh61precedingsiblingtextselftext","","figureidattachment12471precedingsiblingtextselftext","","figureidattachment12471h51precedingsiblingtextselftext","","","","","","","",""
"65.html","Condividi subito","Facebook","Twitter","Google+","Pinterest","Di seguito riportiamo integralmente la nota stampa del gi� Sindaco di Maratea Domenico Cipolla su impianto depurazione di Fiumicello in Maratea.","Ex Sindaco Domenico Cipolla interviene su impianto di depurazione in Maratea","Condividi subito","Di seguito riportiamo integralmente la nota stampa del gi� Sindaco di Maratea Domenico Cipolla su impianto depurazione di Fiumicello in Maratea.","?In un momento molto delicato per la nostra comunit�, in cui occorrerebbe solo essere uniti a tutela dell?immagine di Maratea ed a sostegno degli operatori turistici cos� gravemente danneggiati dagli eventi causati dall?impianto di depurazione, mi vedo costretto ad intervenire per porre fine alla ridda di voci pretestuose e prive di ogni logica.","Premesso che eventuali responsabilit�, penali e civili, saranno accertate dalla magistratura che ha sempre tenuto sotto controllo ci� che accadeva nell?impianto di depurazione di Ogliastro ed a cui anche il Sindaco Stoppelli si � rivolto immediatamente, occorre fare delle precisazioni.","Tutte le amministrazioni che si sono succedute alla guida di Maratea hanno sempre prestato la massima attenzione rispetto al buon funzionamento di quell?impianto, interamente di competenza ed a carico di Acquedotto Lucano SpA, che per� ormai � vetusto e presenta dei costi di gestione altissimi. Ad AQL ? in qualit� di ente gestore ? con D.G.R. n. 2492 del 23.12.2002 fu accordato un finanziamento di ? 6.197.482,78 per l?adeguamento della rete fognaria comunale e nel 2011 fu presentato il relativo progetto che, tra le altre cose, prevede la sostituzione delle due condotte di Ogliastro, la principale di mt 700 e la secondaria di mt 200, con una sola condotta pi� adeguata alla portata massima necessaria nei periodi critici, oltre che vari interventi di ammodernamento sull?intero territorio comunale e dell?impianto di depurazione di loc. Ogliastro.","Purtroppo, per le vicissitudini legate alla realizzazione dell?opera di presa della centrale idroelettrica di Fiumicello, ? nel frattempo intervenuta ? si rese necessario delocalizzare l?impianto di sollevamento previsto al bivio Cesarino ed i lavori di adeguamento ebbero inizio solo nel 2016.","Questi lavori poi hanno subito delle lunghe battute di arresto a causa dei pagamenti all?impresa appaltatrice.","� superfluo evidenziare che il Comune di Maratea era ed � completamente estraneo rispetto a tali lavori, sotto ogni profilo, pur avendone costantemente monitorato e sollecitato i vari passaggi autorizzativi, trattandosi di un intervento a rilevanza strategica. Nel corso del mio mandato, costante � stata la pressione esercitata su Acquedotto Lucano (ed i relativi atti sono depositati in Comune) affinch� ? nelle more del suddetto intervento di adeguamento ? costantemente vigilasse sul rispetto dei parametri di legge ed intervenisse per manutenere ed, eventualmente, riparare le condotte, a mare ed alla radice sulla scogliera, che le mareggiate ciclicamente danneggiavano, proprio per evitare allarmismi e danni alla balneazione.","Infatti, sebbene dalle condotte esca acqua depurata, e ci� � sempre stato confermato dalle analisi effettuate mensilmente da ARPAB, il ribollire dell?acqua e/o un suo diverso colore nei punti di rottura avrebbe potuto ingenerare ingiustificati allarmismi tra la popolazione ed i turisti.","Blog","Ex Sindaco Domenico Cipolla interviene su impianto di depurazione in Maratea","Di seguito riportiamo integralmente la nota stampa del gi� Sindaco di Maratea Domenico Cipolla su impianto depurazione di Fiumicello in Maratea.","Blog","Ex Sindaco Domenico Cipolla interviene su impianto di depurazione in Maratea","Quest?anno, per�, mi riferiscono che, a seguito delle mareggiate protrattesi fino a maggio, Acquedotto Lucano SpA non sia intervenuto per riparare le condotte, una delle quali ? la principale ? sembra essere stata addirittura chiusa, probabilmente perch� � in procinto di essere realizzata la nuova condotta nel prossimo mese di settembre e le vecchie andranno integralmente rimosse.","Condividi subito","Facebook","Twitter","Google+","Pinterest","","Quest?anno, per�, mi riferiscono che, a seguito delle mareggiate protrattesi fino a maggio, Acquedotto Lucano SpA non sia intervenuto per riparare le condotte, una delle quali ? la principale ? sembra essere stata addirittura chiusa, probabilmente perch� � in procinto di essere realizzata la nuova condotta nel prossimo mese di settembre e le vecchie andranno integralmente rimosse.","Ma soprattutto, a ci� si � aggiunto, purtroppo, il grave problema, mai verificatosi in precedenza, che ha interessato il funzionamento del depuratore e delle sue vasche di pretrattamento (poste tra la scogliera e la soprastante strada) ? che non era prevedibile ed ipotizzabile da un?amministrazione comunale, non fosse altro per l?assenza di poteri di gestione e/o controllo dell?impianto, rimessi integralmente ad Acquedotto Lucano Spa ? manifestatosi a ridosso degli scogli.","Condividi subito","","Condividi subito","Di seguito riportiamo integralmente la nota stampa del gi� Sindaco di Maratea Domenico Cipolla su impianto depurazione di Fiumicello in Maratea.","Condividi subito","Di seguito riportiamo integralmente la nota stampa del gi� Sindaco di Maratea Domenico Cipolla su impianto depurazione di Fiumicello in Maratea.","?In un momento molto delicato per la nostra comunit�, in cui occorrerebbe solo essere uniti a tutela dell?immagine di Maratea ed a sostegno degli operatori turistici cos� gravemente danneggiati dagli eventi causati dall?impianto di depurazione, mi vedo costretto ad intervenire per porre fine alla ridda di voci pretestuose e prive di ogni logica.","Premesso che eventuali responsabilit�, penali e civili, saranno accertate dalla magistratura che ha sempre tenuto sotto controllo ci� che accadeva nell?impianto di depurazione di Ogliastro ed a cui anche il Sindaco Stoppelli si � rivolto immediatamente, occorre fare delle precisazioni.","Tutte le amministrazioni che si sono succedute alla guida di Maratea hanno sempre prestato la massima attenzione rispetto al buon funzionamento di quell?impianto, interamente di competenza ed a carico di Acquedotto Lucano SpA, che per� ormai � vetusto e presenta dei costi di gestione altissimi. Ad AQL ? in qualit� di ente gestore ? con D.G.R. n. 2492 del 23.12.2002 fu accordato un finanziamento di ? 6.197.482,78 per l?adeguamento della rete fognaria comunale e nel 2011 fu presentato il relativo progetto che, tra le altre cose, prevede la sostituzione delle due condotte di Ogliastro, la principale di mt 700 e la secondaria di mt 200, con una sola condotta pi� adeguata alla portata massima necessaria nei periodi critici, oltre che vari interventi di ammodernamento sull?intero territorio comunale e dell?impianto di depurazione di loc. Ogliastro.","Purtroppo, per le vicissitudini legate alla realizzazione dell?opera di presa della centrale idroelettrica di Fiumicello, ? nel frattempo intervenuta ? si rese necessario delocalizzare l?impianto di sollevamento previsto al bivio Cesarino ed i lavori di adeguamento ebbero inizio solo nel 2016.","Questi lavori poi hanno subito delle lunghe battute di arresto a causa dei pagamenti all?impresa appaltatrice.","� superfluo evidenziare che il Comune di Maratea era ed � completamente estraneo rispetto a tali lavori, sotto ogni profilo, pur avendone costantemente monitorato e sollecitato i vari passaggi autorizzativi, trattandosi di un intervento a rilevanza strategica. Nel corso del mio mandato, costante � stata la pressione esercitata su Acquedotto Lucano (ed i relativi atti sono depositati in Comune) affinch� ? nelle more del suddetto intervento di adeguamento ? costantemente vigilasse sul rispetto dei parametri di legge ed intervenisse per manutenere ed, eventualmente, riparare le condotte, a mare ed alla radice sulla scogliera, che le mareggiate ciclicamente danneggiavano, proprio per evitare allarmismi e danni alla balneazione.","Infatti, sebbene dalle condotte esca acqua depurata, e ci� � sempre stato confermato dalle analisi effettuate mensilmente da ARPAB, il ribollire dell?acqua e/o un suo diverso colore nei punti di rottura avrebbe potuto ingenerare ingiustificati allarmismi tra la popolazione ed i turisti."
"63.html","","","","","","","MARATEA JAZZ 2019 continua alla grande con LUCA AQUINO :Spiaggia di Fiumicello, 18 agosto ore 21,30","Condividi subito","","","","","","","","","Blog","MARATEA JAZZ 2019 continua alla grande con LUCA AQUINO :Spiaggia di Fiumicello, 18 agosto ore 21,30","Aquino rende omaggio a Roberto Murolo, Lucio Dalla, col quale ha collaborato pi� volte, Ennio Morricone, Nino Rota, Bruno Lauzi, Mia Martini, Luigi Tenco?","","","LUCA AQUINO ~ ORCHESTRA FILARMONICA DI BENEVENTO ~Italian Songbook","Condividi subito","Facebook","Twitter","Google+","Pinterest","LUCA AQUINO ~ ORCHESTRA FILARMONICA DI BENEVENTO ~Italian Songbook","LUCA AQUINO ~ ORCHESTRA FILARMONICA DI BENEVENTO ~Italian Songbook","","Condividi subito","LUCA AQUINO ~ ORCHESTRA FILARMONICA DI BENEVENTO ~Italian Songbook","","","","","","","","","","",""
"64.html","","","","","","","MARATEA JAZZ 2019 continua alla grande con LUCA AQUINO :Spiaggia di Fiumicello, 18 agosto ore 21,30","Condividi subito","","","","","","","","","Blog","MARATEA JAZZ 2019 continua alla grande con LUCA AQUINO :Spiaggia di Fiumicello, 18 agosto ore 21,30","Aquino rende omaggio a Roberto Murolo, Lucio Dalla, col quale ha collaborato pi� volte, Ennio Morricone, Nino Rota, Bruno Lauzi, Mia Martini, Luigi Tenco?","","","LUCA AQUINO ~ ORCHESTRA FILARMONICA DI BENEVENTO ~Italian Songbook","Condividi subito","Facebook","Twitter","Google+","Pinterest","LUCA AQUINO ~ ORCHESTRA FILARMONICA DI BENEVENTO ~Italian Songbook","LUCA AQUINO ~ ORCHESTRA FILARMONICA DI BENEVENTO ~Italian Songbook","","Condividi subito","LUCA AQUINO ~ ORCHESTRA FILARMONICA DI BENEVENTO ~Italian Songbook","","","","","","","","","","",""
