"pages","dividleftareatextprecedingsiblingprecedingsiblingtextprecedingsiblingh21a1text1selftext","","","","","dividleftareatextfollowingsiblingtext1precedingsiblinga1precedingsiblingh21a1textselftext","","","","",""
"4.html","Il Regno di Emmanuel Carr�re","Molte vite un solo amore di Brian Weiss","Hugo Ball, �Jolifanto bambla�? Macch�, � Medio Evo purissimo","Non avrai altro dio, analisi storica della violenza religiosa | Jan Assmann","La vita segreta di Ges�, i vangeli apocrifi spiegati da Vito Mancuso","Il Regno di Emmanuel Carr�re","Molte vite un solo amore di Brian Weiss","Hugo Ball, �Jolifanto bambla�? Macch�, � Medio Evo purissimo","Non avrai altro dio, analisi storica della violenza religiosa | Jan Assmann","La vita segreta di Ges�, i vangeli apocrifi spiegati da Vito Mancuso","Curarsi con i libri. Rimedi letterari per ogni malanno"
"11.html","Passeggeri Notturni [Audiolibro] | Gianrico Carofiglio","Origini| Jim Baggott","Niccol� Cusano torna tra noi. Almeno in libreria.","?Insegnare a vivere. Manifesto per cambiare l?educazione? di Edgar Morin","Cacciari al fondo del suo ?Labirinto filosofico?","Passeggeri Notturni [Audiolibro] | Gianrico Carofiglio","Origini| Jim Baggott","Niccol� Cusano torna tra noi. Almeno in libreria.","?Insegnare a vivere. Manifesto per cambiare l?educazione? di Edgar Morin","Cacciari al fondo del suo ?Labirinto filosofico?","Il caso e la necessit�, di Jacques Monod"
"38.html","Ossessione | Angela Civera","Grey di E. L. James","?Blood Glamour?, di Sonia Cardini: romanzo erotico o storia d?amore?","","","Ossessione | Angela Civera","Grey di E. L. James","?Blood Glamour?, di Sonia Cardini: romanzo erotico o storia d?amore?","Sylvia Kristel: dal film erotico al libro autobiografico.","",""
"2.html","In Calabria un nuovo Laboratorio di editoria","La lettrice di ?echov | Giulia Corsalini","PordenoneLegge2019 XX� Ed. |Camaleonte attento tra righe, lettere, parole e libri","L?amore finch� resta | Giulio Perrone","?Raccontarsi Donna? fa tappa a Napoli","In Calabria un nuovo Laboratorio di editoria","La lettrice di ?echov | Giulia Corsalini","PordenoneLegge2019 XX� Ed. |Camaleonte attento tra righe, lettere, parole e libri","L?amore finch� resta | Giulio Perrone","?Raccontarsi Donna? fa tappa a Napoli","Hostia ? L?innocenza del male | Federico Bonadonna"
"1.html","Mauro Mogliani ci parla del suo thriller ?Cerco te?","Intervista a Marta Pullini, autrice di ?Mi sto separando. Le domande di genitori e figli?","L?amore finch� resta | Giulio Perrone","All?una e trenta | Isabel Ostrander","Repubblica Luminosa | Andr�s Barba","Mauro Mogliani ci parla del suo thriller ?Cerco te?","Intervista a Marta Pullini, autrice di ?Mi sto separando. Le domande di genitori e figli?","L?amore finch� resta | Giulio Perrone","All?una e trenta | Isabel Ostrander","Repubblica Luminosa | Andr�s Barba","Crea contenuti efficaci | Rudy Bandiera"
