"pages","articleidpost345335footer1precedingsiblingp1strong1textselftext","articleidpost345331footer1precedingsiblingp1strong1textselftext","articleidpost345331footer1precedingsiblingdiv1figure1figcaption1text1selftext","dividligatusalkaleaedizioniligurianotiziesmartboxp1textselftext","articleidpost345331footer1precedingsiblingh31strong1textselftext","dividtduid85d5556eb8d766div1div1div1text1selftext","dividtduid85d5542b2dd0b2div1div1div1text1selftext"
"42.html","Ricchissimo anche quest?anno il calendario degli eventi CNA al MOAC, Mostra Mercato dell?Artigianato edizione 2019, che si terr� presso il Palafiori a Sanremo dal 16 al 25 agosto.","","","","","Piana: Ponte Morandi simbolo di morte, cattiva manutenzione e opacit� nella gestione",""
"39.html","","","","","","",""
"63.html","","Alle ore 11:36 di Mercoled� 14 agosto 2019, ora del disastro, un anno dopo, con una semplice e toccante cerimonia in piazza Beato Jacopo, la Citt� di Varazze ha ricordato le vittime del crollo del ponte Morandi di Genova","Citt� di Varazze 14/08/2019. Ricordo delle vittime di Ponte Morandi 1 anno dopo la tragedia",", alla presenza di una folta e commossa partecipazione delle associazioni di impegno sociale (CRI, AVIS, Protezione Civile, Marinai d?Italia, Gruppo Alpini, cittadini e ospiti della colonia balneare.","Il 14 Agosto 2019, un anno dopo, la Citt� di Varazze ha ricordato le 43 vittime del Ponte Morandi","","Piana: Ponte Morandi simbolo di morte, cattiva manutenzione e opacit� nella gestione"
"64.html","","Alle ore 11:36 di Mercoled� 14 agosto 2019, ora del disastro, un anno dopo, con una semplice e toccante cerimonia in piazza Beato Jacopo, la Citt� di Varazze ha ricordato le vittime del crollo del ponte Morandi di Genova","Citt� di Varazze 14/08/2019. Ricordo delle vittime di Ponte Morandi 1 anno dopo la tragedia",", alla presenza di una folta e commossa partecipazione delle associazioni di impegno sociale (CRI, AVIS, Protezione Civile, Marinai d?Italia, Gruppo Alpini, cittadini e ospiti della colonia balneare.","Il 14 Agosto 2019, un anno dopo, la Citt� di Varazze ha ricordato le 43 vittime del Ponte Morandi","","Piana: Ponte Morandi simbolo di morte, cattiva manutenzione e opacit� nella gestione"
