"pages","articleidpost345331footer1meta1precedingsiblingh31strong1text1selftext","dividtduid295d527885d70c8div1div1div1text1selftext","articleidpost345331div1header1div1div1a1textselftext","articleidpost345075footer1precedingsiblingp1precedingsiblingprecedingsiblingfigure1figcaption1text1selftext","articleidpost345331footer1meta1precedingsiblingp1strong1text1selftext","articleidpost345331footer1meta1precedingsiblingdiv1figure1text1selftext","articleidpost345075div1header1div1div1a1i1followingsiblingtext1selftext","articleidpost345075div1ul1header1div1precedingsiblingtextselftext","dividtduid85d5542b2dd0b2div1div1text1selftext","dividtduid15d527885c2059div1div1text1selftext","articleidpost345331footer1precedingsiblingp1textselftext","articleidpost345075footer1meta1precedingsiblingprecedingsiblingp1textselftext"
"61.html","","","","","","","","","","","",""
"63.html","Il 14 Agosto 2019, un anno dopo, la Citt� di Varazze ha ricordato le 43 vittime del Ponte Morandi","","0","","Alle ore 11:36 di Mercoled� 14 agosto 2019, ora del disastro, un anno dopo, con una semplice e toccante cerimonia in piazza Beato Jacopo, la Citt� di Varazze ha ricordato le vittime del crollo del ponte Morandi di Genova","Citt� di Varazze 14/08/2019. Ricordo delle vittime di Ponte Morandi 1 anno dopo la tragedia","","","Piana: Ponte Morandi simbolo di morte, cattiva manutenzione e opacit� nella gestione","",", alla presenza di una folta e commossa partecipazione delle associazioni di impegno sociale (CRI, AVIS, Protezione Civile, Marinai d?Italia, Gruppo Alpini, cittadini e ospiti della colonia balneare.",""
"55.html","","","","","","","","","","","",""
"64.html","Il 14 Agosto 2019, un anno dopo, la Citt� di Varazze ha ricordato le 43 vittime del Ponte Morandi","","0","","Alle ore 11:36 di Mercoled� 14 agosto 2019, ora del disastro, un anno dopo, con una semplice e toccante cerimonia in piazza Beato Jacopo, la Citt� di Varazze ha ricordato le vittime del crollo del ponte Morandi di Genova","Citt� di Varazze 14/08/2019. Ricordo delle vittime di Ponte Morandi 1 anno dopo la tragedia","","","Piana: Ponte Morandi simbolo di morte, cattiva manutenzione e opacit� nella gestione","",", alla presenza di una folta e commossa partecipazione delle associazioni di impegno sociale (CRI, AVIS, Protezione Civile, Marinai d?Italia, Gruppo Alpini, cittadini e ospiti della colonia balneare.",""
"27.html","","Anche quest?anno torna la Festa Patronale di San Rocco a Castagnabuona","","Ponte Morandi, ministro delle Infrastrutture e Trasporti Danilo Toninelli (M5S)","","","0","Mit: dopo tragico crollo a Genova, rivoluzione copernicana per monitoraggio infrastrutture","","Ore 11,36 di domani: un minuto di silenzio. Bucci ai genovesi: ricordate tutti le vittime","","?L?Osservatore Romano scrive oggi che a un anno dalla tragedia del crollo del Ponte Morandi ?tante promesse restano mancate?."
