"pages","dividtduid85d5542b2dd0b2div1div1div1text1selftext","articleidpost345473div1header1div1div1a1textselftext","dividtduid85d57d68fb5052div1div1text1selftext","dividligatusalkaleaedizioniligurianotiziesmartboxprecedingsiblingh31strong1textselftext","articleidpost345473footer1precedingsiblingp1strong1followingsiblingtext1selftext","articleidpost345331footer1span1precedingsiblingp1textselftext","articleidpost345331div1header1div1div1a1i1followingsiblingtext1selftext","articleidpost345331footer1precedingsiblingp1strong1textselftext","articleidpost345331footer1span1precedingsiblingdiv1figure1figcaption1textselftext"
"65.html","","","","","","","","",""
"20.html","","0","Crisi di governo. Doppia ipotesi Giorgetti sottosegretario leghista alla Presidenza del Consiglio","",",","","","",""
"21.html","","","","","","","","",""
"18.html","","","","","","","","",""
"63.html","Piana: Ponte Morandi simbolo di morte, cattiva manutenzione e opacit� nella gestione","","","Il 14 Agosto 2019, un anno dopo, la Citt� di Varazze ha ricordato le 43 vittime del Ponte Morandi","",", alla presenza di una folta e commossa partecipazione delle associazioni di impegno sociale (CRI, AVIS, Protezione Civile, Marinai d?Italia, Gruppo Alpini, cittadini e ospiti della colonia balneare.","0","Alle ore 11:36 di Mercoled� 14 agosto 2019, ora del disastro, un anno dopo, con una semplice e toccante cerimonia in piazza Beato Jacopo, la Citt� di Varazze ha ricordato le vittime del crollo del ponte Morandi di Genova","Citt� di Varazze 14/08/2019. Ricordo delle vittime di Ponte Morandi 1 anno dopo la tragedia"
"64.html","Piana: Ponte Morandi simbolo di morte, cattiva manutenzione e opacit� nella gestione","","","Il 14 Agosto 2019, un anno dopo, la Citt� di Varazze ha ricordato le 43 vittime del Ponte Morandi","",", alla presenza di una folta e commossa partecipazione delle associazioni di impegno sociale (CRI, AVIS, Protezione Civile, Marinai d?Italia, Gruppo Alpini, cittadini e ospiti della colonia balneare.","0","Alle ore 11:36 di Mercoled� 14 agosto 2019, ora del disastro, un anno dopo, con una semplice e toccante cerimonia in piazza Beato Jacopo, la Citt� di Varazze ha ricordato le vittime del crollo del ponte Morandi di Genova","Citt� di Varazze 14/08/2019. Ricordo delle vittime di Ponte Morandi 1 anno dopo la tragedia"
