"pages","linkidgooglefontsstylecsstextprecedingsiblingtitle1textselftext","dividligatusalkaleaedizioniligurianotiziesmartboxprecedingsiblingprecedingsiblingtext1selftext","","","","","","","","","","","","","","","","","dividligatusalkaleaedizioniligurianotiziesmartboxprecedingsiblingprecedingsiblingprecedingsiblingprecedingsiblingtextselftext","","","","","","","","","","","","","","","dividligatusalkaleaedizioniligurianotiziesmartboxprecedingsiblingprecedingsiblingtextselftext","","","","","","","","","","","","","","","","","dividligatusalkaleaedizioniligurianotiziesmartboxprecedingsiblingprecedingsiblingprecedingsiblingp1textselftext","","dividligatusalkaleaedizioniligurianotiziesmartboxprecedingsiblingp1text1selftext","","dividligatusalkaleaedizioniligurianotiziesmartboxprecedingsiblingprecedingsiblingheader1h11textselftext","dividligatusalkaleaedizioniligurianotiziesmartboxprecedingsiblingprecedingsiblingprecedingsiblingprecedingsiblingtext1selftext","","","","","","","","","","","","","","","dividligatusalkaleaedizioniligurianotiziesmartboxprecedingsiblingtextselftext","","","","","","","","","","","","","","","","","dividligatusalkaleaedizioniligurianotiziesmartboxprecedingsiblingprecedingsiblingprecedingsiblingtextselftext","","","","","","","","","","","","","","","","dividligatusalkaleaedizioniligurianotiziesmartboxprecedingsiblingprecedingsiblingprecedingsiblingtext1selftext","","","","","","","","","","","","","","",""
"50.html","Successo per l'installazione artistica Nessuno � innocente di Soriani ed Dente","Ieri mattina, ad un anno dalla tragedia del crollo del Ponte Morandi, presso via del Campasso, a Genova, alle ore 8.00, gli artisti Nicola Soriani ed Enzo Dente hanno allestito l?installazione artistica ?Nessuno � Innocente?, per ricordare e commemorare le 43 vittime.","L?installazione contava anche le opere di altri artisti italiani, oltre a Soriani ed a Dente: Mauro Malafronte di Lavezzola, in provincia di Ravenna; Enrico Dalfiume di Bolzano, Antonella Turci di Forl� e Filippo Zoli di Faenza.","Inoltre, insieme a tali opere, era esposto anche un lavoro realizzato dai bambini del quartiere genovese di Sarzano.","Molti i visitatori dell?installazione: un vasto pubblico di tutte le et�, che si � dimostrato molto interessato, colpito e riflessivo, considerando le varie opere degli artisti come molto d?impatto e molto incisive e dal grande significato.","Durante la giornata, � stato possibile lasciare scritto un pensiero, per commemorare le 43 vittime.","Nicola Soriani dichiara: ?Ci tengono a ringraziare tutti i visitatori, in particolare gli abitanti del quartiere del Campasso, per l?ospitalit�, per i caff�, la focaccia, le bevande e per la loro disponibilit�.","Li ringrazio per averci supportati ed esserci stati vicini. Spero che chi amministra la nostra citt� prenda a cuore le problematiche del quartiere e le risolva.","Laura Candelo","","","","","","","","","","Ieri mattina, ad un anno dalla tragedia del crollo del Ponte Morandi, presso via del Campasso, a Genova, alle ore 8.00, gli artisti Nicola Soriani ed Enzo Dente hanno allestito l?installazione artistica ?Nessuno � Innocente?, per ricordare e commemorare le 43 vittime.","L?installazione contava anche le opere di altri artisti italiani, oltre a Soriani ed a Dente: Mauro Malafronte di Lavezzola, in provincia di Ravenna; Enrico Dalfiume di Bolzano, Antonella Turci di Forl� e Filippo Zoli di Faenza.","Inoltre, insieme a tali opere, era esposto anche un lavoro realizzato dai bambini del quartiere genovese di Sarzano.","Molti i visitatori dell?installazione: un vasto pubblico di tutte le et�, che si � dimostrato molto interessato, colpito e riflessivo, considerando le varie opere degli artisti come molto d?impatto e molto incisive e dal grande significato.","Durante la giornata, � stato possibile lasciare scritto un pensiero, per commemorare le 43 vittime.","Nicola Soriani dichiara: ?Ci tengono a ringraziare tutti i visitatori, in particolare gli abitanti del quartiere del Campasso, per l?ospitalit�, per i caff�, la focaccia, le bevande e per la loro disponibilit�.","","","","","","","","","","Ieri mattina, ad un anno dalla tragedia del crollo del Ponte Morandi, presso via del Campasso, a Genova, alle ore 8.00, gli artisti Nicola Soriani ed Enzo Dente hanno allestito l?installazione artistica ?Nessuno � Innocente?, per ricordare e commemorare le 43 vittime.","L?installazione contava anche le opere di altri artisti italiani, oltre a Soriani ed a Dente: Mauro Malafronte di Lavezzola, in provincia di Ravenna; Enrico Dalfiume di Bolzano, Antonella Turci di Forl� e Filippo Zoli di Faenza.","Inoltre, insieme a tali opere, era esposto anche un lavoro realizzato dai bambini del quartiere genovese di Sarzano.","Molti i visitatori dell?installazione: un vasto pubblico di tutte le et�, che si � dimostrato molto interessato, colpito e riflessivo, considerando le varie opere degli artisti come molto d?impatto e molto incisive e dal grande significato.","Durante la giornata, � stato possibile lasciare scritto un pensiero, per commemorare le 43 vittime.","Nicola Soriani dichiara: ?Ci tengono a ringraziare tutti i visitatori, in particolare gli abitanti del quartiere del Campasso, per l?ospitalit�, per i caff�, la focaccia, le bevande e per la loro disponibilit�.","Li ringrazio per averci supportati ed esserci stati vicini. Spero che chi amministra la nostra citt� prenda a cuore le problematiche del quartiere e le risolva.","Torneremo??","","","","","","","","","","Ieri mattina, ad un anno dalla tragedia del crollo del Ponte Morandi, presso via del Campasso, a Genova, alle ore 8.00, gli artisti Nicola Soriani ed Enzo Dente hanno allestito l?installazione artistica ?Nessuno � Innocente?, per ricordare e commemorare le 43 vittime.","","Ieri mattina, ad un anno dalla tragedia del crollo del Ponte Morandi, presso via del Campasso, a Genova, alle ore 8.00, gli artisti Nicola Soriani ed Enzo Dente hanno allestito l?installazione artistica ?Nessuno � Innocente?, per ricordare e commemorare le 43 vittime.","","Successo per l?installazione artistica Nessuno � innocente di Nicola Soriani ed Enzo Dente","Ieri mattina, ad un anno dalla tragedia del crollo del Ponte Morandi, presso via del Campasso, a Genova, alle ore 8.00, gli artisti Nicola Soriani ed Enzo Dente hanno allestito l?installazione artistica ?Nessuno � Innocente?, per ricordare e commemorare le 43 vittime.","L?installazione contava anche le opere di altri artisti italiani, oltre a Soriani ed a Dente: Mauro Malafronte di Lavezzola, in provincia di Ravenna; Enrico Dalfiume di Bolzano, Antonella Turci di Forl� e Filippo Zoli di Faenza.","Inoltre, insieme a tali opere, era esposto anche un lavoro realizzato dai bambini del quartiere genovese di Sarzano.","Molti i visitatori dell?installazione: un vasto pubblico di tutte le et�, che si � dimostrato molto interessato, colpito e riflessivo, considerando le varie opere degli artisti come molto d?impatto e molto incisive e dal grande significato.","Durante la giornata, � stato possibile lasciare scritto un pensiero, per commemorare le 43 vittime.","Nicola Soriani dichiara: ?Ci tengono a ringraziare tutti i visitatori, in particolare gli abitanti del quartiere del Campasso, per l?ospitalit�, per i caff�, la focaccia, le bevande e per la loro disponibilit�.","","","","","","","","","","Ieri mattina, ad un anno dalla tragedia del crollo del Ponte Morandi, presso via del Campasso, a Genova, alle ore 8.00, gli artisti Nicola Soriani ed Enzo Dente hanno allestito l?installazione artistica ?Nessuno � Innocente?, per ricordare e commemorare le 43 vittime.","L?installazione contava anche le opere di altri artisti italiani, oltre a Soriani ed a Dente: Mauro Malafronte di Lavezzola, in provincia di Ravenna; Enrico Dalfiume di Bolzano, Antonella Turci di Forl� e Filippo Zoli di Faenza.","Inoltre, insieme a tali opere, era esposto anche un lavoro realizzato dai bambini del quartiere genovese di Sarzano.","Molti i visitatori dell?installazione: un vasto pubblico di tutte le et�, che si � dimostrato molto interessato, colpito e riflessivo, considerando le varie opere degli artisti come molto d?impatto e molto incisive e dal grande significato.","Durante la giornata, � stato possibile lasciare scritto un pensiero, per commemorare le 43 vittime.","Nicola Soriani dichiara: ?Ci tengono a ringraziare tutti i visitatori, in particolare gli abitanti del quartiere del Campasso, per l?ospitalit�, per i caff�, la focaccia, le bevande e per la loro disponibilit�.","Li ringrazio per averci supportati ed esserci stati vicini. Spero che chi amministra la nostra citt� prenda a cuore le problematiche del quartiere e le risolva.","Torneremo??","","","","","","","","","","Ieri mattina, ad un anno dalla tragedia del crollo del Ponte Morandi, presso via del Campasso, a Genova, alle ore 8.00, gli artisti Nicola Soriani ed Enzo Dente hanno allestito l?installazione artistica ?Nessuno � Innocente?, per ricordare e commemorare le 43 vittime.","L?installazione contava anche le opere di altri artisti italiani, oltre a Soriani ed a Dente: Mauro Malafronte di Lavezzola, in provincia di Ravenna; Enrico Dalfiume di Bolzano, Antonella Turci di Forl� e Filippo Zoli di Faenza.","Inoltre, insieme a tali opere, era esposto anche un lavoro realizzato dai bambini del quartiere genovese di Sarzano.","Molti i visitatori dell?installazione: un vasto pubblico di tutte le et�, che si � dimostrato molto interessato, colpito e riflessivo, considerando le varie opere degli artisti come molto d?impatto e molto incisive e dal grande significato.","Durante la giornata, � stato possibile lasciare scritto un pensiero, per commemorare le 43 vittime.","Nicola Soriani dichiara: ?Ci tengono a ringraziare tutti i visitatori, in particolare gli abitanti del quartiere del Campasso, per l?ospitalit�, per i caff�, la focaccia, le bevande e per la loro disponibilit�.","Li ringrazio per averci supportati ed esserci stati vicini. Spero che chi amministra la nostra citt� prenda a cuore le problematiche del quartiere e le risolva.","Torneremo??","","","","","","","","","Ieri mattina, ad un anno dalla tragedia del crollo del Ponte Morandi, presso via del Campasso, a Genova, alle ore 8.00, gli artisti Nicola Soriani ed Enzo Dente hanno allestito l?installazione artistica ?Nessuno � Innocente?, per ricordare e commemorare le 43 vittime.","L?installazione contava anche le opere di altri artisti italiani, oltre a Soriani ed a Dente: Mauro Malafronte di Lavezzola, in provincia di Ravenna; Enrico Dalfiume di Bolzano, Antonella Turci di Forl� e Filippo Zoli di Faenza.","Inoltre, insieme a tali opere, era esposto anche un lavoro realizzato dai bambini del quartiere genovese di Sarzano.","Molti i visitatori dell?installazione: un vasto pubblico di tutte le et�, che si � dimostrato molto interessato, colpito e riflessivo, considerando le varie opere degli artisti come molto d?impatto e molto incisive e dal grande significato.","Durante la giornata, � stato possibile lasciare scritto un pensiero, per commemorare le 43 vittime.","Nicola Soriani dichiara: ?Ci tengono a ringraziare tutti i visitatori, in particolare gli abitanti del quartiere del Campasso, per l?ospitalit�, per i caff�, la focaccia, le bevande e per la loro disponibilit�.","Li ringrazio per averci supportati ed esserci stati vicini. Spero che chi amministra la nostra citt� prenda a cuore le problematiche del quartiere e le risolva.","","","","","","","","",""
"49.html","Prosegue con grande successo la mostra di Elio De Luca ad Albenga","Tre opere di Elio De Luca (Foto Daros)","SAVONA. 16 AGOS. Ancora una volta Elio De Luca ha colpito nel segno. Come gi� in passato era riuscito in maniera ammirevole a centrare con precisione importanti tematiche esistenziali, legate al tempo, all? infanzia, al mito, alla natura, questa volta ha mirabilmente sviluppato il Cantico dei Cantici. Il maestro cosentino d?origine, ma toscano d?adozione, ha presentato, in questa: ?Amore. Cantico dei Cantici? (mostra a cura di Francesca Bogliolo), nei palazzi del Centro Storico della ?Citt� delle Torri?, un ciclo pittorico di grande rilievo. In questo caso si tratta di una serie di opere che sviluppano questo fondamentale testo della religione, della letteratura e della storia.","?De Luca riesce- commenta Armando D?Amaro- ancora una volta ad uscire dagli schemi, a sviluppare liberamente un racconto che esce fuori dal tempo e si proietta in una realt� metafisica, che non � solo religiosa, estetica o etica. L? uso dello sfondo aureo trasforma le sue figure in icone: gli innamorati sono eterei, impalpabili, il loro amore � l?amore del Creatore verso tutti noi. Alla fine il senso che ne rimane � quello di un viaggio al centro dell? Amore. De Luca � un Maestro di livello internazionale e vale la pena visitare questa mostra albenganese, a cura della valente Francesca Bogliolo, soprattutto per coloro che ancora non conoscessero ancora questo valido artista?.","Per visitare la mostra si consiglia questo percorso: dalle sale della sede Ucai (Unione Cattolica Artisti Italiani) in piazza dei Leoni il pubblico potr� passare alle sale di ?Magiche Trasparenze? e del Museo Navale Archeologico Romano, per chiudere con le stanze del terzo piano di Palazzo Oddo. La parte pi� suggestiva, toccante, della mostra, che porta il visitatore completamente fuori dal tempo, � , a nostro avviso, rappresentata da quel gioiello che sono i tre bozzetti del Maestro esposti in una delle pi� belle Sale del Museo Navale Romano Ingauno. Quei minuscoli pezzi si inseriscono in maniera perfetta in quell? ambiente di cultura romana mirabilmente ricostruito dagli allestitori.","De Luca � uno degli artisti italiani contemporanei pi� apprezzati. Sue sculture e quadri sono esposti in alcuni fra i pi� importanti musei del mondo, come il Museo d?Arte Contemporanea di Mosca, lo Spazio Italia di Pechino, il Museo dell? Arte di Riga, i Musei d? Arte Contemporanea di Miami, Istanbul, Nuovo Messico e Santa F�.","","","","","","","","","","","","","SAVONA. 16 AGOS. Ancora una volta Elio De Luca ha colpito nel segno. Come gi� in passato era riuscito in maniera ammirevole a centrare con precisione importanti tematiche esistenziali, legate al tempo, all? infanzia, al mito, alla natura, questa volta ha mirabilmente sviluppato il Cantico dei Cantici. Il maestro cosentino d?origine, ma toscano d?adozione, ha presentato, in questa: ?Amore. Cantico dei Cantici? (mostra a cura di Francesca Bogliolo), nei palazzi del Centro Storico della ?Citt� delle Torri?, un ciclo pittorico di grande rilievo. In questo caso si tratta di una serie di opere che sviluppano questo fondamentale testo della religione, della letteratura e della storia.","?De Luca riesce- commenta Armando D?Amaro- ancora una volta ad uscire dagli schemi, a sviluppare liberamente un racconto che esce fuori dal tempo e si proietta in una realt� metafisica, che non � solo religiosa, estetica o etica. L? uso dello sfondo aureo trasforma le sue figure in icone: gli innamorati sono eterei, impalpabili, il loro amore � l?amore del Creatore verso tutti noi. Alla fine il senso che ne rimane � quello di un viaggio al centro dell? Amore. De Luca � un Maestro di livello internazionale e vale la pena visitare questa mostra albenganese, a cura della valente Francesca Bogliolo, soprattutto per coloro che ancora non conoscessero ancora questo valido artista?.","Per visitare la mostra si consiglia questo percorso: dalle sale della sede Ucai (Unione Cattolica Artisti Italiani) in piazza dei Leoni il pubblico potr� passare alle sale di ?Magiche Trasparenze? e del Museo Navale Archeologico Romano, per chiudere con le stanze del terzo piano di Palazzo Oddo. La parte pi� suggestiva, toccante, della mostra, che porta il visitatore completamente fuori dal tempo, � , a nostro avviso, rappresentata da quel gioiello che sono i tre bozzetti del Maestro esposti in una delle pi� belle Sale del Museo Navale Romano Ingauno. Quei minuscoli pezzi si inseriscono in maniera perfetta in quell? ambiente di cultura romana mirabilmente ricostruito dagli allestitori.","","","","","","","","","","","","","SAVONA. 16 AGOS. Ancora una volta Elio De Luca ha colpito nel segno. Come gi� in passato era riuscito in maniera ammirevole a centrare con precisione importanti tematiche esistenziali, legate al tempo, all? infanzia, al mito, alla natura, questa volta ha mirabilmente sviluppato il Cantico dei Cantici. Il maestro cosentino d?origine, ma toscano d?adozione, ha presentato, in questa: ?Amore. Cantico dei Cantici? (mostra a cura di Francesca Bogliolo), nei palazzi del Centro Storico della ?Citt� delle Torri?, un ciclo pittorico di grande rilievo. In questo caso si tratta di una serie di opere che sviluppano questo fondamentale testo della religione, della letteratura e della storia.","?De Luca riesce- commenta Armando D?Amaro- ancora una volta ad uscire dagli schemi, a sviluppare liberamente un racconto che esce fuori dal tempo e si proietta in una realt� metafisica, che non � solo religiosa, estetica o etica. L? uso dello sfondo aureo trasforma le sue figure in icone: gli innamorati sono eterei, impalpabili, il loro amore � l?amore del Creatore verso tutti noi. Alla fine il senso che ne rimane � quello di un viaggio al centro dell? Amore. De Luca � un Maestro di livello internazionale e vale la pena visitare questa mostra albenganese, a cura della valente Francesca Bogliolo, soprattutto per coloro che ancora non conoscessero ancora questo valido artista?.","Per visitare la mostra si consiglia questo percorso: dalle sale della sede Ucai (Unione Cattolica Artisti Italiani) in piazza dei Leoni il pubblico potr� passare alle sale di ?Magiche Trasparenze? e del Museo Navale Archeologico Romano, per chiudere con le stanze del terzo piano di Palazzo Oddo. La parte pi� suggestiva, toccante, della mostra, che porta il visitatore completamente fuori dal tempo, � , a nostro avviso, rappresentata da quel gioiello che sono i tre bozzetti del Maestro esposti in una delle pi� belle Sale del Museo Navale Romano Ingauno. Quei minuscoli pezzi si inseriscono in maniera perfetta in quell? ambiente di cultura romana mirabilmente ricostruito dagli allestitori.","De Luca � uno degli artisti italiani contemporanei pi� apprezzati. Sue sculture e quadri sono esposti in alcuni fra i pi� importanti musei del mondo, come il Museo d?Arte Contemporanea di Mosca, lo Spazio Italia di Pechino, il Museo dell? Arte di Riga, i Musei d? Arte Contemporanea di Miami, Istanbul, Nuovo Messico e Santa F�.","","","","","","","","","","","","","","SAVONA. 16 AGOS. Ancora una volta Elio De Luca ha colpito nel segno. Come gi� in passato era riuscito in maniera ammirevole a centrare con precisione importanti tematiche esistenziali, legate al tempo, all? infanzia, al mito, alla natura, questa volta ha mirabilmente sviluppato il Cantico dei Cantici. Il maestro cosentino d?origine, ma toscano d?adozione, ha presentato, in questa: ?Amore. Cantico dei Cantici? (mostra a cura di Francesca Bogliolo), nei palazzi del Centro Storico della ?Citt� delle Torri?, un ciclo pittorico di grande rilievo. In questo caso si tratta di una serie di opere che sviluppano questo fondamentale testo della religione, della letteratura e della storia.","","SAVONA. 16 AGOS. Ancora una volta Elio De Luca ha colpito nel segno. Come gi� in passato era riuscito in maniera ammirevole a centrare con precisione importanti tematiche esistenziali, legate al tempo, all? infanzia, al mito, alla natura, questa volta ha mirabilmente sviluppato il Cantico dei Cantici. Il maestro cosentino d?origine, ma toscano d?adozione, ha presentato, in questa: ?Amore. Cantico dei Cantici? (mostra a cura di Francesca Bogliolo), nei palazzi del Centro Storico della ?Citt� delle Torri?, un ciclo pittorico di grande rilievo. In questo caso si tratta di una serie di opere che sviluppano questo fondamentale testo della religione, della letteratura e della storia.","","Prosegue con grande successo la mostra di Elio De Luca ad Albenga","Tre opere di Elio De Luca (Foto Daros)","SAVONA. 16 AGOS. Ancora una volta Elio De Luca ha colpito nel segno. Come gi� in passato era riuscito in maniera ammirevole a centrare con precisione importanti tematiche esistenziali, legate al tempo, all? infanzia, al mito, alla natura, questa volta ha mirabilmente sviluppato il Cantico dei Cantici. Il maestro cosentino d?origine, ma toscano d?adozione, ha presentato, in questa: ?Amore. Cantico dei Cantici? (mostra a cura di Francesca Bogliolo), nei palazzi del Centro Storico della ?Citt� delle Torri?, un ciclo pittorico di grande rilievo. In questo caso si tratta di una serie di opere che sviluppano questo fondamentale testo della religione, della letteratura e della storia.","?De Luca riesce- commenta Armando D?Amaro- ancora una volta ad uscire dagli schemi, a sviluppare liberamente un racconto che esce fuori dal tempo e si proietta in una realt� metafisica, che non � solo religiosa, estetica o etica. L? uso dello sfondo aureo trasforma le sue figure in icone: gli innamorati sono eterei, impalpabili, il loro amore � l?amore del Creatore verso tutti noi. Alla fine il senso che ne rimane � quello di un viaggio al centro dell? Amore. De Luca � un Maestro di livello internazionale e vale la pena visitare questa mostra albenganese, a cura della valente Francesca Bogliolo, soprattutto per coloro che ancora non conoscessero ancora questo valido artista?.","Per visitare la mostra si consiglia questo percorso: dalle sale della sede Ucai (Unione Cattolica Artisti Italiani) in piazza dei Leoni il pubblico potr� passare alle sale di ?Magiche Trasparenze? e del Museo Navale Archeologico Romano, per chiudere con le stanze del terzo piano di Palazzo Oddo. La parte pi� suggestiva, toccante, della mostra, che porta il visitatore completamente fuori dal tempo, � , a nostro avviso, rappresentata da quel gioiello che sono i tre bozzetti del Maestro esposti in una delle pi� belle Sale del Museo Navale Romano Ingauno. Quei minuscoli pezzi si inseriscono in maniera perfetta in quell? ambiente di cultura romana mirabilmente ricostruito dagli allestitori.","","","","","","","","","","","","SAVONA. 16 AGOS. Ancora una volta Elio De Luca ha colpito nel segno. Come gi� in passato era riuscito in maniera ammirevole a centrare con precisione importanti tematiche esistenziali, legate al tempo, all? infanzia, al mito, alla natura, questa volta ha mirabilmente sviluppato il Cantico dei Cantici. Il maestro cosentino d?origine, ma toscano d?adozione, ha presentato, in questa: ?Amore. Cantico dei Cantici? (mostra a cura di Francesca Bogliolo), nei palazzi del Centro Storico della ?Citt� delle Torri?, un ciclo pittorico di grande rilievo. In questo caso si tratta di una serie di opere che sviluppano questo fondamentale testo della religione, della letteratura e della storia.","?De Luca riesce- commenta Armando D?Amaro- ancora una volta ad uscire dagli schemi, a sviluppare liberamente un racconto che esce fuori dal tempo e si proietta in una realt� metafisica, che non � solo religiosa, estetica o etica. L? uso dello sfondo aureo trasforma le sue figure in icone: gli innamorati sono eterei, impalpabili, il loro amore � l?amore del Creatore verso tutti noi. Alla fine il senso che ne rimane � quello di un viaggio al centro dell? Amore. De Luca � un Maestro di livello internazionale e vale la pena visitare questa mostra albenganese, a cura della valente Francesca Bogliolo, soprattutto per coloro che ancora non conoscessero ancora questo valido artista?.","Per visitare la mostra si consiglia questo percorso: dalle sale della sede Ucai (Unione Cattolica Artisti Italiani) in piazza dei Leoni il pubblico potr� passare alle sale di ?Magiche Trasparenze? e del Museo Navale Archeologico Romano, per chiudere con le stanze del terzo piano di Palazzo Oddo. La parte pi� suggestiva, toccante, della mostra, che porta il visitatore completamente fuori dal tempo, � , a nostro avviso, rappresentata da quel gioiello che sono i tre bozzetti del Maestro esposti in una delle pi� belle Sale del Museo Navale Romano Ingauno. Quei minuscoli pezzi si inseriscono in maniera perfetta in quell? ambiente di cultura romana mirabilmente ricostruito dagli allestitori.","De Luca � uno degli artisti italiani contemporanei pi� apprezzati. Sue sculture e quadri sono esposti in alcuni fra i pi� importanti musei del mondo, come il Museo d?Arte Contemporanea di Mosca, lo Spazio Italia di Pechino, il Museo dell? Arte di Riga, i Musei d? Arte Contemporanea di Miami, Istanbul, Nuovo Messico e Santa F�.","Da segnalare anche il bellissimo catalogo, a cura di Maurizio Vanni, che contiene anche per intero il testo del Cantico dei Cantici e tutto il ciclo pittorico di Elio De Luca. E? arricchito dagli interventi di Giuseppe Billi e Maurizio Vanni. Splendide illustrazioni, 84 pagine, Edizioni Polistampa di Firenze.","CLAUDIO ALMANZI","","","","","","","","","","","","SAVONA. 16 AGOS. Ancora una volta Elio De Luca ha colpito nel segno. Come gi� in passato era riuscito in maniera ammirevole a centrare con precisione importanti tematiche esistenziali, legate al tempo, all? infanzia, al mito, alla natura, questa volta ha mirabilmente sviluppato il Cantico dei Cantici. Il maestro cosentino d?origine, ma toscano d?adozione, ha presentato, in questa: ?Amore. Cantico dei Cantici? (mostra a cura di Francesca Bogliolo), nei palazzi del Centro Storico della ?Citt� delle Torri?, un ciclo pittorico di grande rilievo. In questo caso si tratta di una serie di opere che sviluppano questo fondamentale testo della religione, della letteratura e della storia.","?De Luca riesce- commenta Armando D?Amaro- ancora una volta ad uscire dagli schemi, a sviluppare liberamente un racconto che esce fuori dal tempo e si proietta in una realt� metafisica, che non � solo religiosa, estetica o etica. L? uso dello sfondo aureo trasforma le sue figure in icone: gli innamorati sono eterei, impalpabili, il loro amore � l?amore del Creatore verso tutti noi. Alla fine il senso che ne rimane � quello di un viaggio al centro dell? Amore. De Luca � un Maestro di livello internazionale e vale la pena visitare questa mostra albenganese, a cura della valente Francesca Bogliolo, soprattutto per coloro che ancora non conoscessero ancora questo valido artista?.","Per visitare la mostra si consiglia questo percorso: dalle sale della sede Ucai (Unione Cattolica Artisti Italiani) in piazza dei Leoni il pubblico potr� passare alle sale di ?Magiche Trasparenze? e del Museo Navale Archeologico Romano, per chiudere con le stanze del terzo piano di Palazzo Oddo. La parte pi� suggestiva, toccante, della mostra, che porta il visitatore completamente fuori dal tempo, � , a nostro avviso, rappresentata da quel gioiello che sono i tre bozzetti del Maestro esposti in una delle pi� belle Sale del Museo Navale Romano Ingauno. Quei minuscoli pezzi si inseriscono in maniera perfetta in quell? ambiente di cultura romana mirabilmente ricostruito dagli allestitori.","","","","","","","","","","","","","","Tre opere di Elio De Luca (Foto Daros)","SAVONA. 16 AGOS. Ancora una volta Elio De Luca ha colpito nel segno. Come gi� in passato era riuscito in maniera ammirevole a centrare con precisione importanti tematiche esistenziali, legate al tempo, all? infanzia, al mito, alla natura, questa volta ha mirabilmente sviluppato il Cantico dei Cantici. Il maestro cosentino d?origine, ma toscano d?adozione, ha presentato, in questa: ?Amore. Cantico dei Cantici? (mostra a cura di Francesca Bogliolo), nei palazzi del Centro Storico della ?Citt� delle Torri?, un ciclo pittorico di grande rilievo. In questo caso si tratta di una serie di opere che sviluppano questo fondamentale testo della religione, della letteratura e della storia.","?De Luca riesce- commenta Armando D?Amaro- ancora una volta ad uscire dagli schemi, a sviluppare liberamente un racconto che esce fuori dal tempo e si proietta in una realt� metafisica, che non � solo religiosa, estetica o etica. L? uso dello sfondo aureo trasforma le sue figure in icone: gli innamorati sono eterei, impalpabili, il loro amore � l?amore del Creatore verso tutti noi. Alla fine il senso che ne rimane � quello di un viaggio al centro dell? Amore. De Luca � un Maestro di livello internazionale e vale la pena visitare questa mostra albenganese, a cura della valente Francesca Bogliolo, soprattutto per coloro che ancora non conoscessero ancora questo valido artista?.","Per visitare la mostra si consiglia questo percorso: dalle sale della sede Ucai (Unione Cattolica Artisti Italiani) in piazza dei Leoni il pubblico potr� passare alle sale di ?Magiche Trasparenze? e del Museo Navale Archeologico Romano, per chiudere con le stanze del terzo piano di Palazzo Oddo. La parte pi� suggestiva, toccante, della mostra, che porta il visitatore completamente fuori dal tempo, � , a nostro avviso, rappresentata da quel gioiello che sono i tre bozzetti del Maestro esposti in una delle pi� belle Sale del Museo Navale Romano Ingauno. Quei minuscoli pezzi si inseriscono in maniera perfetta in quell? ambiente di cultura romana mirabilmente ricostruito dagli allestitori.","","","","","","","","","","","",""
