"pages","articleidpost345387div1header1div1div1a1text1selftext","dividtduid85d567b75a355ddiv1div1text1selftext","articleidpost345331div1header1div1div1text1selftext","articleidpost345331footer1div1precedingsiblingp1textselftext","dividtduid85d5542b2dd0b2div1div1text1selftext","dividtduid435d567b75bef39div1div1text1selftext","articleidpost345331footer1precedingsiblingp1strong1text1selftext","articleidpost345331footer1precedingsiblingdiv1figure1figcaption1text1selftext","articleidpost345331footer1meta1precedingsiblingp1precedingsiblingstrong1textselftext","articleidpost345387footer1meta1precedingsiblingh31strong1text1selftext"
"47.html","0","Crisi di governo. Doppia ipotesi Giorgetti sottosegretario leghista alla Presidenza del Consiglio","","","","Prosegue con grande successo la mostra di Elio De Luca ad Albenga","","","","Mamma di 5 figli e nonna di un bellissimo nipotino, � nata a Genova il 24 giugno 1960."
"62.html","","","","","","","","","",""
"41.html","","","","","","","","","",""
"63.html","","","0",", alla presenza di una folta e commossa partecipazione delle associazioni di impegno sociale (CRI, AVIS, Protezione Civile, Marinai d?Italia, Gruppo Alpini, cittadini e ospiti della colonia balneare.","Piana: Ponte Morandi simbolo di morte, cattiva manutenzione e opacit� nella gestione","","Alle ore 11:36 di Mercoled� 14 agosto 2019, ora del disastro, un anno dopo, con una semplice e toccante cerimonia in piazza Beato Jacopo, la Citt� di Varazze ha ricordato le vittime del crollo del ponte Morandi di Genova","Citt� di Varazze 14/08/2019. Ricordo delle vittime di Ponte Morandi 1 anno dopo la tragedia","Il 14 Agosto 2019, un anno dopo, la Citt� di Varazze ha ricordato le 43 vittime del Ponte Morandi",""
"64.html","","","0",", alla presenza di una folta e commossa partecipazione delle associazioni di impegno sociale (CRI, AVIS, Protezione Civile, Marinai d?Italia, Gruppo Alpini, cittadini e ospiti della colonia balneare.","Piana: Ponte Morandi simbolo di morte, cattiva manutenzione e opacit� nella gestione","","Alle ore 11:36 di Mercoled� 14 agosto 2019, ora del disastro, un anno dopo, con una semplice e toccante cerimonia in piazza Beato Jacopo, la Citt� di Varazze ha ricordato le vittime del crollo del ponte Morandi di Genova","Citt� di Varazze 14/08/2019. Ricordo delle vittime di Ponte Morandi 1 anno dopo la tragedia","Il 14 Agosto 2019, un anno dopo, la Citt� di Varazze ha ricordato le 43 vittime del Ponte Morandi",""
"43.html","","","","","","","","","",""
