"pages","Pools","Restaurants","Electrical","Bars","staff","Registry","Itineraries","nline-title","Length","Cabins","(width)","Lifts","passengers","Decks"
"4.html","2","6","110/220v AC","9","600","Malta","Top 5","Thomson Dream","243m","767","30m","7","1,533","12"
"7.html","2","4","110/220v AC","6","520","Malta","Top 5","Thomson Spirit","214.66m","627","27.26m","7","1,254","10"
"3.html","2","7","110/220v AC","7","771","Bahamas","Top 5","TUI Discovery 2","264 m","918","32 m","9","1836","11"
"2.html","2","7","110/220v AC","7","753","Malta","Top 5","TUI Discovery","264 m","915","32 m","9","1830","11"
"6.html","2","5","110/220v AC","7","600","Malta","Top 5","Thomson Majesty","207m","732","28m","6","1,462","11"
"1.html","1","10","TBC","10","TBC","Malta","Top 4","TUI Explorer","262.5 m","962","32.2 m","10","1924","13"
"5.html","2","5","110/220v AC","6","520","Malta","Top 5","Thomson Celebration","214.66m","632","27.26m","7","1,264","10"
