"pages","articleidpost92789div1header1h11text1selftext","dividtduid55d4f269c353abdiv1div1text1selftext","dividtduid55d4edf3259debdiv1div1div1div1p1text1selftext","dividtduid435d4f269c441b6precedingsiblingul1li1a1text1selftext","formidcommentformp1textselftext","dividtduid15d4edf32555f3div1div1div1div1p1textselftext","spanidcnnoticetexta1followingsiblingtext1selftext","dividtduid35d4f269c34dd7div1figure1figcaption1textselftext","dividtduid435d4edf32c4d39precedingsiblingul1li1a1textselftext"
"28.html","Tragedia sulla A2, due gelesi perdono la vita: tornavano in citt� per le vacanze","Il furgone Citroen Berlingo sul quale viaggiavano sarebbe andato a sbattere contro un guard rail. Il traffico � rimasto interrotto per ore.","","Aggressione in centro storico, versioni discordanti: spunta un video",".","",". La prosecuzione nella navigazione comporta l'accettazione dei cookie.","Il trentasettenne Gianluca Martines ha perso la vita insieme al padre sessantasettenne Gaetano",""
"40.html","","","Sul posto, sono arrivati i carabinieru e i vigili del fuoco. Il rogo si � propagato anche a seguito del vento che spira sulla zona.","",".","Ennesimo rogo nel canneto antistante un tratto di spiaggia sul lungomare Federico II di Svevia. Nel pomeriggio, il fuoco si � sviluppato in pochi minuti facendo alzare una nube che ha ridotto la visibilit� anche in strada.",". La prosecuzione nella navigazione comporta l'accettazione dei cookie.","","?Tensioni interne? Stiamo attuando programma?, Di Stefano: ?Su assessori spazio ad alleati?"
"39.html","","","","",".","",". La prosecuzione nella navigazione comporta l'accettazione dei cookie.","",""
