"pages","articleidpost92789div1header1h11text1selftext","dividtduid55d4f269c353abdiv1div1div1div1text1selftext","articleidpost92789div1header1div1div1a1precedingsiblingtext1selftext","articleidpost92805footer1span1precedingsiblingprecedingsiblingdiv1div1a1text1selftext","articleidpost92805div1header1div1span1precedingsiblingdiv1textselftext","dividtduid55d4edf3259debdiv1div1div1div1p1text1selftext","dividtduid435d4f269c441b6precedingsiblingaside1ul1li1a1text1selftext","formidcommentformp1a1textselftext","articleidpost92789footer1meta1precedingsiblingdiv1figure1figcaption1text1selftext","dividtduid15d4edf32555f3div1div1div1div1p1textselftext","spanidcnnoticetexta1followingsiblingtext1selftext","dividtduid435d4edf32c4d39precedingsiblingprecedingsiblingul1li1a1textselftext"
"28.html","Tragedia sulla A2, due gelesi perdono la vita: tornavano in citt� per le vacanze","Il furgone Citroen Berlingo sul quale viaggiavano sarebbe andato a sbattere contro un guard rail. Il traffico � rimasto interrotto per ore.","Di","","","","Aggressione in centro storico, versioni discordanti: spunta un video",".","Il trentasettenne Gianluca Martines ha perso la vita insieme al padre sessantasettenne Gaetano","",". La prosecuzione nella navigazione comporta l'accettazione dei cookie.",""
"40.html","","","","RICHARD GERE A LAMPEDUSA, ?BASTA CON LA DEMONIZZAZIONE DEI MIGRANTI?","Di","Sul posto, sono arrivati i carabinieru e i vigili del fuoco. Il rogo si � propagato anche a seguito del vento che spira sulla zona.","",".","","Ennesimo rogo nel canneto antistante un tratto di spiaggia sul lungomare Federico II di Svevia. Nel pomeriggio, il fuoco si � sviluppato in pochi minuti facendo alzare una nube che ha ridotto la visibilit� anche in strada.",". La prosecuzione nella navigazione comporta l'accettazione dei cookie.","?Tensioni interne? Stiamo attuando programma?, Di Stefano: ?Su assessori spazio ad alleati?"
"39.html","","","","","","","",".","","",". La prosecuzione nella navigazione comporta l'accettazione dei cookie.",""
