"pages","metaidviewportprecedingsiblingtext1selftext","dividmaincontainerdiv1div1div1div1h61textselftext","dividmaincontainerdiv1div1div1figure1precedingsiblingprecedingsiblingh61textselftext","dividcommentsectionp1text1selftext","","","dividcommentsectionul1precedingsiblingp1textselftext",""
"38.html","Prezzo del latte e anomalie del pecorino: serve una riforma seria - L'Unione Sarda.it","La riflessione di Paolo Fadda sulla battaglia degli allevatori in Sardegna","La riflessione di Paolo Fadda sulla battaglia degli allevatori in Sardegna","Sul latte ovino, e sul suo prezzo, spira nuovamente un forte vento di burrasca. Infatti l'obiettivo di un euro a litro, da riconoscersi agli allevatori, pare svanire per via dei prezzi, sempre molto poco remunerativi, che il mercato riconosce al pecorino "tipo romano". Per non parlare delle nubi tempestose che s'avvicinano sempre pi� dall'Atlantico, per via dei minacciati dazi protettivi in un mercato, quello degli Usa, che �, storicamente, il pi� importante (pari al 60-65 per cento) per quel prodotto che � da sempre il dominus della nostra gamma casearia. Proprio perch� il destino di quei 320 milioni di litri di latte ovino � quello di trasformarsi quasi tutti in formaggio, essendone precluso l'utilizzo come alimento.","","","Sul latte ovino, e sul suo prezzo, spira nuovamente un forte vento di burrasca. Infatti l'obiettivo di un euro a litro, da riconoscersi agli allevatori, pare svanire per via dei prezzi, sempre molto poco remunerativi, che il mercato riconosce al pecorino "tipo romano". Per non parlare delle nubi tempestose che s'avvicinano sempre pi� dall'Atlantico, per via dei minacciati dazi protettivi in un mercato, quello degli Usa, che �, storicamente, il pi� importante (pari al 60-65 per cento) per quel prodotto che � da sempre il dominus della nostra gamma casearia. Proprio perch� il destino di quei 320 milioni di litri di latte ovino � quello di trasformarsi quasi tutti in formaggio, essendone precluso l'utilizzo come alimento.",""
"218.html","L'Universit� di Cagliari seleziona 24 ricercatori - L'Unione Sarda.it","Il bando riguarda diversi dipartimenti. Il contratto avr� durata triennale","Il bando riguarda diversi dipartimenti. Il contratto avr� durata triennale","Maxi bando aperto dall'Universit� di Cagliari.","","","Maxi bando aperto dall'Universit� di Cagliari.",""
"215.html","Sughero sardo, un progetto europeo per valorizzarlo - L'Unione Sarda.it","Un programma Ue dedicato ai prodotti forestali non legnosi del Mediterraneo","Un programma Ue dedicato ai prodotti forestali non legnosi del Mediterraneo","Un progetto europeo per valorizzare il sughero e le piante medicinali e aromatiche della Sardegna.","","","Un progetto europeo per valorizzare il sughero e le piante medicinali e aromatiche della Sardegna.",""
"219.html","Facile.it inaugura a Cagliari: boom di assunzioni - L'Unione Sarda.it",""Abbiamo scelto il capoluogo perch� consapevoli delle competenze professionali presenti sul territorio", ha detto il Cfo Tallia","","Duecento assunzioni nei prossimi dodici mesi, oltre sessanta gi� fatte: Facile.it, comparatore italiano online di assicurazioni, prestiti, mutui, energia e telefonia, ha inaugurato in questa mattina la nuova sede a Cagliari.","","","Duecento assunzioni nei prossimi dodici mesi, oltre sessanta gi� fatte: Facile.it, comparatore italiano online di assicurazioni, prestiti, mutui, energia e telefonia, ha inaugurato in questa mattina la nuova sede a Cagliari.",""
"207.html","Eurospin seleziona personale per i suoi punti vendita in Sardegna - L'Unione Sarda.it","Tra le figure ricercate quella di vice assistente di filiale e di addetto alle vendite","Tra le figure ricercate quella di vice assistente di filiale e di addetto alle vendite","Eurospin ricerca personale per diversi punti vendita della Sardegna.","","","Eurospin ricerca personale per diversi punti vendita della Sardegna.",""
"61.html","Vacilla l'ipotesi governo Pd-M5s: spread in risalita e Piazza Affari in rosso - L'Unione Sarda.it","Tremano i mercati dopo l'ultimatum di Luigi Di Maio","Tremano i mercati dopo l'ultimatum di Luigi Di Maio","Venerd� 30 agosto 2019: la giornata a Piazza Affari e nelle altre Borse europee in un unico colpo d'occhio.","","","Venerd� 30 agosto 2019: la giornata a Piazza Affari e nelle altre Borse europee in un unico colpo d'occhio.",""
"209.html","Comune di Isili, concorso per due nuove assunzioni a tempo indeterminato - L'Unione Sarda.it","Per inviare domanda c'� tempo fino al 26 agosto","Per inviare domanda c'� tempo fino al 26 agosto","� stato indetto un concorso per due posti di istruttore direttivo contabile (categoria D) a tempo pieno e indeterminato: un lavoratore sar� assunto dal Comune di Isili, mentre il secondo da quello di Serri.","","","� stato indetto un concorso per due posti di istruttore direttivo contabile (categoria D) a tempo pieno e indeterminato: un lavoratore sar� assunto dal Comune di Isili, mentre il secondo da quello di Serri.",""
"217.html","A Villaurbana si piantano nuovi alberi: il Comune in cerca di operai - L'Unione Sarda.it","La Regione stanzia 74mila euro per il patrimonio boschivo. Il sindaco: "Progetto importante per l'ambiente e l'occupazione"","La Regione stanzia 74mila euro per il patrimonio boschivo. Il sindaco: "Progetto importante per l'ambiente e l'occupazione"","Arrivano buone notizie per il Comune di Villaurbana sul fronte "Cantieri Verdi". Infatti, l'amministrazione guidata da Paolo Pireddu ha ottenuto nei giorni scorsi un finanziamento da parte della Regione di 74mila euro.","","","Arrivano buone notizie per il Comune di Villaurbana sul fronte "Cantieri Verdi". Infatti, l'amministrazione guidata da Paolo Pireddu ha ottenuto nei giorni scorsi un finanziamento da parte della Regione di 74mila euro.",""
"64.html","Istat, continua la stagnazione: Pil fermo nel secondo trimestre - L'Unione Sarda.it","","","","","","",""
"19.html","Scuola ai blocchi di partenza: stangata da mille euro a studente - L'Unione Sarda.it","Tra corredo scolastico e libri tanto pu� costare mandare un figlio a scuola, con i prezzi che salgono pi� del triplo rispetto all'inflazione registrata","Tra corredo scolastico e libri tanto pu� costare mandare un figlio a scuola, con i prezzi che salgono pi� del triplo rispetto all'inflazione registrata","Si avvicina la riapertura delle scuole, nuove spese per le famiglie italiane: cartelle, zaini, astucci, diari, quaderni e - soprattutto - libri. Il cui costo, secondo le associazioni dei consumatori, continua a crescere.","","","Si avvicina la riapertura delle scuole, nuove spese per le famiglie italiane: cartelle, zaini, astucci, diari, quaderni e - soprattutto - libri. Il cui costo, secondo le associazioni dei consumatori, continua a crescere.",""
