"pages","dividadvbottomstrong1followingsiblingtext1followingsiblingtext1selftext","dividadvbottomfollowingsiblingtext1a1followingsiblingtext1selftext","dividtaboolabelowarticlethumbnailsprecedingsiblingdiv1div1textselftext"
"34.html","",".","/"
"9.html","La carne salada � una delle specialit� della gastronomia trentina che figura nell'elenco dei Prodotti Agroalimentari Tradizionali (PAT) redatto dal Ministero delle Politiche Agricole, Alimentari e Forestali.","","/"
